,Owner,No_BHK,Location,price,sqfeet
0,BUILDER,3 BHK Apartment,Gundlapochampally, 65.98 L,"4,200 / sq ft"
1,BUILDER,4 BHK Villa,Patancheru, 1.48 Cr,"7,700 / sq ft"
2,BUILDER,4 BHK Villa,Tukkuguda, 2.99 Cr,"7,200 / sq ft"
3,BUILDER,3 BHK Apartment,Patancheru, 60.97 L,"4,500 / sq ft"
4,BUILDER,4 BHK Villa,Ramachandrapuram, 1.75 Cr,"5,500 / sq ft"
5,BUILDER,4 BHK Apartment,Attapur, 3.52 Cr,"7,500 / sq ft"
6,BUILDER,4 BHK Villa,Maheshwaram, 1.4 Cr,"5,200 / sq ft"
7,BUILDER,4 BHK Apartment,Gandipet, 4.31 Cr,"8,499 / sq ft"
8,BUILDER,3 BHK Apartment,Kompally, 95.74 L,"5,599 / sq ft"
9,BUILDER,3 BHK Apartment,Gopanpally, 1.65 Cr,"6,499 / sq ft"
10,BUILDER,Residential Plot,Sadashivpet, 63 L,"2,000 / sq ft"
11,BUILDER,3 BHK Apartment,Manchirevula, 1.42 Cr,"6,625 / sq ft"
12,BUILDER,3 BHK Apartment,Kollur, 1.14 Cr,"5,299 / sq ft"
13,BUILDER,3 BHK Apartment,Jeedimetla, 1.04 Cr,"5,500 / sq ft"
14,BUILDER,3 BHK Apartment,Gundlapochampally, 1.18 Cr,"6,100 / sq ft"
15,BUILDER,3 BHK Apartment,Kollur, 94.94 L,"5,349 / sq ft"
16,BUILDER,3 BHK Apartment,Patancheru, 74.73 L,"5,300 / sq ft"
17,BUILDER,2 BHK Apartment,Saroor Nagar, 85.15 L,"6,500 / sq ft"
18,BUILDER,3 BHK Apartment,Nanakramguda, 1.44 Cr,"7,599 / sq ft"
19,BUILDER,2 BHK Apartment,Pragathi Nagar Kukatpally, 68.21 L,"5,199 / sq ft"
20,BUILDER,2 BHK Apartment,Pocharam, 56.85 L,"4,699 / sq ft"
21,BUILDER,3 BHK Apartment,Sainikpuri, 1.34 Cr,"6,100 / sq ft"
22,BUILDER,3 BHK Apartment,Jeedimetla, 1.02 Cr,"5,400 / sq ft"
23,BUILDER,3 BHK Apartment,Bachupally, 1 Cr,"5,990 / sq ft"
24,BUILDER,3 BHK Apartment,Mallapur, 1.09 Cr,"4,999 / sq ft"
25,BUILDER,3 BHK Apartment,Nizampet, 1.19 Cr,"6,500 / sq ft"
26,BUILDER,3 BHK Apartment,Rajendra Nagar, 80 L,"7,641 / sq ft"
27,BUILDER,4 BHK Independent House,Kollur, 4.09 Cr,"6,500 / sq ft"
28,BUILDER,3 BHK Apartment,Nagole, 99.84 L,"6,103 / sq ft"
29,BUILDER,Residential Plot,Choutuppal, 48.99 L,"2,039 / sq ft"
30,BUILDER,3 BHK Apartment,Gundlapochampally, 57.87 L,"4,200 / sq ft"
31,BUILDER,4 BHK Villa,Patancheru, 1.64 Cr,"7,700 / sq ft"
32,BUILDER,4 BHK Villa,Tukkuguda, 3.26 Cr,"7,200 / sq ft"
33,BUILDER,2 BHK Apartment,Patancheru, 50.62 L,"4,500 / sq ft"
34,BUILDER,4 BHK Villa,Ramachandrapuram, 1.75 Cr,"5,500 / sq ft"
35,BUILDER,3 BHK Apartment,Attapur, 1.76 Cr,"7,502 / sq ft"
36,BUILDER,4 BHK Villa,Maheshwaram, 1.59 Cr,"5,199 / sq ft"
37,BUILDER,4 BHK Apartment,Gandipet, 4.31 Cr,"8,499 / sq ft"
38,BUILDER,2 BHK Apartment,Kompally, 73.62 L,"5,599 / sq ft"
39,BUILDER,3 BHK Apartment,Gopanpally, 1.32 Cr,"6,499 / sq ft"
40,BUILDER,Residential Plot,Sadashivpet, 72 L,"2,000 / sq ft"
41,BUILDER,3 BHK Apartment,Manchirevula, 1.3 Cr,"6,656 / sq ft"
42,BUILDER,3 BHK Apartment,Kollur, 1.14 Cr,"5,299 / sq ft"
43,BUILDER,3 BHK Apartment,Jeedimetla, 92.12 L,"5,500 / sq ft"
44,BUILDER,3 BHK Apartment,Gundlapochampally, 1.18 Cr,"6,100 / sq ft"
45,BUILDER,3 BHK Apartment,Kollur, 94.94 L,"5,349 / sq ft"
46,BUILDER,2 BHK Apartment,Patancheru, 50.35 L,"5,300 / sq ft"
47,BUILDER,3 BHK Apartment,Saroor Nagar, 1.52 Cr,"6,500 / sq ft"
